price,room_bed,room_bath,living_measure,lot_measure,ceil,sight,basement,zipcode,living_measure15,lot_measure15,age_sold,age_since_renovation,class,major_cities
808100,4,3.25,2.7454545454545456,2.5550861537000995,1.0,0,0.0,98133,2.4367816091954024,1.5771559824598038,1.2974393370023614,0.0,A,Seattle
277500,4,2.5,2.3181818181818183,1.4240281008211895,1.0,0,1.4285714285714286,98023,2.5977011494252875,1.837544372520359,0.858203401354294,0.0,B,Federal Way
404000,3,2.5,2.1545454545454548,0.8209996677267765,2.0,0,0.0,98038,2.7241379310344827,0.9079139695134684,0.2043201425959445,0.0,B,Maple Valley
300000,2,1.0,0.7454545454545455,0.7298618692742204,1.0,0,0.0,98133,1.7471264367816093,0.8026727918145751,2.1688549141392333,0.0,B,Seattle
699000,2,1.5,1.2727272727272727,0.7689751744434423,1.0,0,0.0,98115,2.1839080459770117,1.2403424514512424,1.351041446540303,0.0,B,Seattle
585000,3,2.5,1.8636363636363635,2.2195851331466274,2.0,0,0.0,98059,2.7701149425287355,2.124034245145124,0.562555701540808,0.0,A,Renton
465000,3,1.75,1.3454545454545455,1.2075758294963688,1.0,0,0.0,98133,1.7011494252873562,1.3280434328669868,1.3432684975054898,0.0,B,Seattle
480000,3,1.5,1.9090909090909092,12.772392841885413,1.0,0,1.5714285714285714,98028,1.8505747126436782,3.340780956358321,1.4466873087771848,0.0,B,Kenmore
780000,4,2.0,2.3636363636363638,0.9113779845255613,1.0,2,2.142857142857143,98119,2.3563218390804597,0.7318855711004385,1.356241788329551,0.0,B,Seattle
215000,4,1.0,1.0272727272727273,1.405041059476907,1.0,0,0.0,98003,1.7701149425287357,1.540822718730424,1.0073043670007993,0.0,B,Federal Way
402000,2,1.0,0.6454545454545455,0.9683391085584089,1.0,0,0.0,98117,1.7586206896551724,1.0649404886197535,2.4202353935629692,0.0,B,Seattle
299000,4,2.5,2.1363636363636362,1.3211183367351782,2.0,0,0.0,98092,2.8505747126436782,1.3353518479849655,0.3698306673159438,0.0,B,Auburn
785000,4,2.5,3.1272727272727274,10.669198272179237,2.0,0,0.0,98053,3.6206896551724137,9.27771977448319,0.46883929473809943,0.0,B,Redmond
865000,4,2.0,2.5,1.0494137750984953,2.0,0,1.1071428571428572,98119,1.4827586206896552,0.36834412194612653,2.521265355249497,28.0,B,Seattle
554000,5,2.5,3.1272727272727274,2.449328333412446,1.0,2,3.0714285714285716,98166,2.413793103448276,2.2449363123825434,1.2535212561673665,0.0,B,Seattle
361000,3,1.5,1.0909090909090908,1.3739023116722837,1.0,0,0.0,98011,1.9310344827586208,1.628732512006682,0.8838927222778601,0.0,B,Bothell
459000,4,2.75,2.536363636363636,1.2531447287226467,2.0,0,0.0,98058,3.3333333333333335,1.4098976821883482,0.3253980650318361,0.0,B,Renton
200000,3,1.0,1.3454545454545455,1.0632743152798214,1.0,0,0.9642857142857143,98178,1.5517241379310345,2.317811651701817,1.4961548709561832,0.0,B,Seattle
403000,2,1.0,1.0,0.6831537475672853,1.0,0,0.0,98144,1.4252873563218391,0.7513050741282105,1.9498341587114913,0.0,B,Seattle
327500,3,2.25,2.1,1.3670669767883419,2.0,0,0.0,98031,2.2528735632183907,1.5036542075589894,0.5389428421797334,0.0,B,Kent
700000,5,2.75,2.8181818181818183,1.8654768120757583,2.0,2,0.0,98125,2.4367816091954024,1.7540196283148883,1.4206120967667841,32.0,B,Seattle
